Observation_ID,Class,IQ,Group
1,1,148.75,Test
2,1,148.75,Test
3,1,182,Test
4,2,182.75,Test
5,2,148.75,Test
6,2,148.75,Test
7,3,135.75,Test
8,3,135.75,Test
9,3,135.75,Test
10,4,148.75,Test
11,4,148.75,Test
12,4,148.75,Test
13,5,150.75,Test
14,5,148.75,Test
15,5,145.75,Test
16,6,148.75,Test
17,6,148.75,Test
18,6,148.75,Test
19,7,148.75,Test
20,7,148.75,Test
21,7,129.75,Test
22,8,129.75,Test
23,8,129.75,Test
24,8,129.75,Test
25,9,129.75,Test
26,9,129.75,Test
27,9,129.75,Test
28,10,129.75,Test
29,10,129.75,Test
30,10,129.75,Test
31,11,140.75,Test
32,11,140.75,Test
33,11,140.75,Test
34,12,131.75,Test
35,12,131.75,Test
36,12,131.75,Test
37,1,155,Ref
38,1,155,Ref
39,1,155,Ref
40,2,190,Ref
41,2,180,Ref
42,2,185,Ref
43,3,135,Ref
44,3,135,Ref
45,3,135,Ref
46,4,135,Ref
47,4,155,Ref
48,4,135,Ref
49,5,155,Ref
50,5,155,Ref
51,5,155,Ref
52,6,155,Ref
53,6,155,Ref
54,6,135,Ref
55,7,155,Ref
56,7,155,Ref
57,7,155,Ref
58,8,195,Ref
59,8,155,Ref
60,8,135,Ref
61,9,135,Ref
62,9,155,Ref
63,9,135,Ref
64,10,135,Ref
65,10,135,Ref
66,10,135,Ref
67,11,155,Ref
68,11,155,Ref
69,11,135,Ref
70,12,135,Ref
71,12,155,Ref
72,12,155,Ref
